comment,class
فنانين الكبت والفساد عقلية جنسية لا غير العفن وليس الفن شعب فيه اغلبية مستعدة للجنس وعندها قابلية ,1
الدعارة هربت منها في المحمدية و سكنت في بوزنيقة و هي بحال بحال موجودة في كل المدن و السبب ملكنا زامل و الناس فقراء بالزاف,1
كون غير خريتي و مدرتيش هادشي,1
لا حول ولا قوة الا بالله العلي العظيم لا حول ولا قوة الا بالله العلي العظيم استغفرالله العظيم واتوب اليه مساكن الوالدين هما اللي في الواجهة شعب لا يرحم,0
الله يرحم الوالدين عندي مشكل كبيييير و محتاجة الدعاء ديالكم فقط  دعوة مستجابة انشاء الله دعيو معايا ربي يفرجها عليا عاجلا يا رب و الله يفرجها على جميع المسلمين يا ربي جزاكم الله الف خير ,0
اش هدا المنكر ولينا نشوفو آش هد الصحافة اللهم لا شماته راه كلنا عندنا مشاكل الله لعالم بينا ولكن خاص الايمان بالله يكون قوي استغفر الله العظيم ياربي رد بها وبنا,1
الله يلقيها ليه,1
السلام عليكم  أختكم يالله فتحت قناة تعاون بها الى جات على خاطركم تشتاركو عندي الله يجازيكم  كل خير,0
هنا نوع آخر من البشر زوامل الشوهه,1
قسما بالله إما عندك علاش تحشمي يا الله أهدي عبادك,1
هاد الشي لي كديري ماشي روتيني راه اسمو وريتيني لمسخ والشوهة لا زين لا مجي بكري الله ينعل لي مايحشم بقا ليك غير تصوري في المرحاض كدوشي والمخرج ديال راجلك كيصور اتفو عليكم,1
التمنيكولوجيا بأم عينيها فالمغرب يا زبي ههههههه,1
كل تشجيع لك صديقتي,0
عند عام عجباتتتتتني الأغنية عزيزة علية تراكس ,0
غالبا والله اعلم هديك المسخة لكتقول امها مربياها حاشة واش تكون ام حقيقية الله يبن الحق يارب في الظالم,1
ياربتشوفحالهديالبنتباشمبقاشفي هدا الحال وربي تقبل التوب متخافيش رب معاك اختي,0
لخوت رجع معاها لواجب الوطني,0
ثالثا كل المغربيات حتى الموظفات كيعرفو يجفو ويطيبو بلا ما يعصرو ترمتهم امام ملاييين الرجااال ,1
هادشي علاش حرم الله النميمة توصال الهدرة لا يدخل الجنة نمام وباقي كلشي غيوقف أمام الله الحساب الأكبر كل واحد غياخد حقو,0
يا ربي يرجع عهد البصري ينقي الوسخ,0
من يستهزء و يستغل زواج الفاتحة لأغراض شخصية و إخفاء الفساد الأخلاقي فإن الله سبحانه وتعالى لهم بالمرصاد أغبياء   الفاتحة أكبر شاهد على الزواج و مباركتهلكن مادمتم تتحايلون على الله فانتظروا مصيركم,1
رجال الغد ,0
تبادل بصدق,0
العیله العیله شوهتو الله یعطیها الکنسیر فداک الفم طارو دیال الزبل وش معندهاوالدین معندهاجیران حشومه عیب انا بعدا قیاتنی المسخه وجه السلوگی الله یعطیها الموبد باز لباقی کتخرج وکتلاقی مع الناس قلیله الحیا الله یعطیها العقاب,1
